Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.38251464221077,-22.5844818732987,-7.57666891152213,0.540655554216826,..
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.75693978209092,9.9843075683015,6.10893999509641,5.13713201542561,..
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.61247509796932,2.13263632780773,1.96825188007162,2.55120301937745,..
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.3517874262504,0.297884820349225,3.59327606262792,..,..
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-12.2238384935431,6.92704485233561,7.72123800096536,1.1232590791063,..
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.67207617426551,-1.96959068680444,-0.143628267802001,-2.06277329277863,..
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-19.3061079714883,7.60242746368742,8.93719971230415,3.33221753471314,..
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.3361096878518,10.1485599877349,5.04819532337936,-1.89294979737558,..
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.16866452731679,5.77142760758333,12.3383335576379,7.51424654746016,..
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-25.7932299902647,25.154963851554,8.91230807871956,4.2161321395799,..
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.34397743292375,1.96739983729857,2.92410064137691,0.941014568468177,..
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.70639380453616,4.33975864673073,4.27593300868151,-1.93014550333265,..
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.95270173869491,5.15150006870661,4.67343995240384,1.00245375996985,..
"Bahamas, The",BHS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-21.6592742577959,15.2546635364609,10.4573623607886,2.15032304345033,..
Bahrain,BHR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.17307400932464,2.11919822497499,4.56830497646013,-0.438668518005386,..
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.58647816564581,6.07069417020969,6.00847462887278,4.4907040939439,..
Barbados,BRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-15.2024233113658,-0.413697039221532,17.7614916652573,4.08718373049098,..
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.25122471747035,3.29081751550129,-3.88854008273084,4.44960693510662,..
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.20244009899054,5.76632057182083,3.39444810875487,0.330761544683028,..
Belize,BLZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-15.0006803457529,16.3958057933036,7.6417033896701,-0.911086213204612,..
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.12020264806804,4.41335435119757,3.58072444885842,3.70336824954308,..
Bermuda,BMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.24077916474974,4.98533851039498,6.26511530054812,-0.0160705558262038,..
Bhutan,BTN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.8226112247093,3.68935320488568,4.47661596980855,..,..
Bolivia,BOL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-9.85710687013788,5.03525970053377,2.40643654741493,1.67597209711492,..
Bosnia and Herzegovina,BIH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.65750889476411,9.19171639031184,5.53110882891563,2.84424128755406,..
Botswana,BWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.0331102652959,10.2639466852064,3.82364178157756,1.06238429984988,..
Brazil,BRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.83550546659214,4.3179316171849,2.64631532411505,2.50184181305286,..
British Virgin Islands,VGB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..
Brunei Darussalam,BRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.065735387685379,-2.5312383018266,-2.4166096837327,0.61627044044485,..
Bulgaria,BGR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.63305109398775,8.6624492700559,7.70993169235021,4.99605098628201,..
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.443420002406739,4.43100540861892,-0.819552931034835,0.649577989543943,..
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.54898078724676,0.329205802983878,-0.86993082464484,-0.0634306087257812,..
Cabo Verde,CPV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-20.8937523404244,6.62540765957627,15.1545081084513,4.95243157820107,..
Cambodia,KHM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.96368199399319,1.57862051550094,3.71382775421614,3.62181652357869,..
Cameroon,CMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.43476031121681,0.631351991581198,1.04502997524601,0.555787081874598,..
Canada,CAN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.06240642959015,4.70538205187351,1.95567065895641,-1.67686294923784,..
Cayman Islands,CYM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.83262842880404,2.77415090691775,2.9780272878493,2.29214328757428,..
Central African Republic,CAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.744488614542561,-0.705468755505223,0.779306817487921,-0.19439874260992,..
Chad,TCD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.68177486554433,-4.51520294952013,-0.688568407747965,-0.532949668761347,..
Channel Islands,CHI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-9.22341061404704,9.60318202892023,5.04335171897539,3.42060499095562,..
Chile,CHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.98113061984451,10.8435032426686,1.55399573929161,-0.320572085984224,..
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.99555804192106,8.35171995394172,2.96415683733213,5.35885786336085,..
Colombia,COL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.50949477621059,9.5929782838861,6.14882472642719,-0.511064130774713,..
Comoros,COM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.13462936832765,0.00410174590371071,0.633328895842794,1.03371262691816,..
"Congo, Dem. Rep.",COD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.48924362969555,2.81656459085707,5.46935970576061,5.0792270602395,..
"Congo, Rep.",COG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.48578578986992,-1.37465389510481,-0.927744025174505,-0.528875412706213,..
Costa Rica,CRI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.93444227198336,7.38823226408623,4.10345495842361,4.6227538695518,..
Cote d'Ivoire,CIV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.81621061689408,4.44709198559022,3.57851134670443,3.5739282865556,..
Croatia,HRV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.48747462051617,13.6545080301151,7.93740053837753,3.19428250044082,..
Cuba,CUB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.7380017373744,1.74699047212907,2.34859376608416,-1.57400309872948,..
Curacao,CUW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-17.1256701353318,5.94644325617895,8.59729802128055,5.70588245796732,..
Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.31145651333244,10.354743515406,5.91318391367162,1.01810481946092,..
Czechia,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.53491968909772,5.93106967489969,1.24409473071174,-1.85042130485776,..
Denmark,DNK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.06613834682413,6.91766397588252,0.743682050788365,1.73831324527245,..
Djibouti,DJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.194323039716195,3.02524014418688,2.28288456725817,5.21030648770045,..
Dominica,DMA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-16.2252224176746,7.48065676225116,6.17761763298697,5.20974333141137,..
Dominican Republic,DOM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.6884057209512,11.1094904238238,3.85688511656647,1.45247215200952,..
Ecuador,ECU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.3108341005083,8.97136200726882,5.34349023609313,1.46609787031822,..
"Egypt, Arab Rep.",EGY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.88111975917718,1.76220484283698,5.01555864991792,2.0216049044848,..
El Salvador,SLV,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.07562588564387,11.5271594106656,2.39791769647934,3.03022113151724,..
Equatorial Guinea,GNQ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.35874657366674,-1.56652040015599,0.661786258781987,-7.34984419720533,..
Eritrea,ERI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..
Estonia,EST,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.07548259924842,7.04092720510926,-1.26803376550069,-4.54079780667568,..
Eswatini,SWZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.93372721156238,2.21125906314677,-1.07799704474215,4.02586627576976,..
Ethiopia,ETH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.22311599092373,2.85565765490767,2.59483118332766,3.76110898414161,..
Faroe Islands,FRO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.08925168870519,4.03208796871324,2.33335945136548,1.49204624479195,..
Fiji,FJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-17.0444705219334,-5.06241050091924,19.4395068638526,6.97476972948301,..
Finland,FIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.63099870678219,2.52197670805532,1.17453501098861,-1.65611536097759,..
France,FRA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.74056754340876,6.50155222975816,2.23598928786784,0.607649186397026,..
French Polynesia,PYF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.10924836320343,1.88205500182596,4.24773677566013,..,..
Gabon,GAB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.15528083286725,-0.845244788994776,0.747533658521135,0.217772009125895,..
"Gambia, The",GMB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.7631871131438,2.79304588389131,3.07381399019251,2.41340344842445,..
Georgia,GEO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.35478715206467,11.0650780067831,10.8422088053808,7.74568546703702,..
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.17345320848187,3.6261286867131,0.641609123670904,0.353884463349871,..
Ghana,GHA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.46830801654092,3.03800270044563,1.84292659762039,0.9986101276738,..
Gibraltar,GIB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..
Greece,GRC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-9.00116452681704,9.98468495099316,7.0843300920864,2.63987981955106,..
Greenland,GRL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.0647842810666504,0.778869513715492,..,..,..
Grenada,GRD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-14.0234896211443,4.37616462446699,7.11420099513016,3.41752116129375,..
Guam,GUM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.7119946566793,1.07830501841417,4.17726586538778,..,..
Guatemala,GTM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.22007732804485,6.55183997318683,2.74510931662304,1.94482578818422,..
Guinea,GIN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.06694997562413,2.96921009369555,1.423063279934,4.14897160570489,..
Guinea-Bissau,GNB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.801515193497664,3.83162407652125,2.28630209508714,2.863557562921,..
Guyana,GUY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,43.5123463015091,18.8820740620799,62.1110244618455,33.0390050012149,..
Haiti,HTI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.49816442182016,-2.92695804339543,-2.7846808475344,-2.99212843762332,..
Honduras,HND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.5484174868395,10.7029903655951,2.41184551052402,1.82153848584794,..
"Hong Kong SAR, China",HKG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.20872349471774,7.42947323635303,-2.80511851932368,0.672720575833921,..
Hungary,HUN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.28140735132469,7.50510516201774,5.29384001816963,-0.368525543460265,..
Iceland,ISL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.43869801113058,3.54282580473281,6.28683265806771,2.00742256232689,..
India,IND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.69047102833747,8.79093447676263,6.1449586075554,7.20183939103345,..
Indonesia,IDN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.89423403981894,2.97476192227879,4.52469623632904,4.16662016188742,..
"Iran, Islamic Rep.",IRN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.5389746580567,3.85313178994835,2.53772563042168,3.78764834504966,..
Iraq,IRQ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-13.967532268629,-0.74745630944858,5.19898035546807,-5.09653452880239,..
Ireland,IRL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.06078060129495,15.1519484897753,5.83266062205905,-8.05568600205125,..
Isle of Man,IMN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.95285352180778,3.78598318141479,..,..,..
Israel,ISR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.18721874830878,7.52022582216894,4.39722097796363,0.332891432159684,..
Italy,ITA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.42323992779932,9.49416104245226,4.87370861625361,0.732099290773135,..
Jamaica,JAM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-10.1579688839566,4.34549459726712,5.16733666328146,2.1769567589147,..
Japan,JPN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.86470966963243,3.0321308280439,1.40382237505176,2.17578291223812,..
Jordan,JOR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.86253982856009,1.7717289089388,0.915647678213944,1.03611400644526,..
Kazakhstan,KAZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.86406094514987,2.91864170117744,1.70100297910589,3.57238732741942,..
Kenya,KEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.2103217118529,5.5651365159048,2.86281276489714,3.48335845460592,..
Kiribati,KIR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.27952355228955,6.5969687469682,2.23928655354328,2.50532863178424,..
"Korea, Dem. People's Rep.",PRK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..
"Korea, Rep.",KOR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.846212237799236,4.43912129317819,2.80523762871836,1.2782352431086,..
Kosovo,XKX,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.4069546835034,10.9981399077476,5.33915659522819,4.76264915945173,..
Kuwait,KWT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.90786290383718,3.18476964251985,0.58248950967598,-8.87744214614318,..
Kyrgyz Republic,KGZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-9.03157037888498,3.58776223348636,7.03043636823195,4.28948319232387,..
