Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,415.707417059086
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,8575.17113446213
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,5364.02795022731
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,46812.4484486309
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,2308.15976731274
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,21787.1017315914
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,14187.4827252965
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,8053.01066312345
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,33984.7906198041
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,64820.9117890026
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,56033.573792065
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,7125.90858368611
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,35896.50510715
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,29218.8605634137
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2551.01772674142
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,23804.0249914995
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7829.05313660622
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,54700.9093236712
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,7459.99815132837
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1394.37330217623
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,125841.602522489
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3686.27996490544
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,8638.66620201187
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7820.23240375076
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,10294.866680778
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,32962.9065121916
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,15885.5391311331
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,882.689810086163
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,193.007145564804
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,4850.98415849643
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,2429.74853452838
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1736.86091073524
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,53431.1857063879
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,97749.5078960846
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,495.978897153068
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,680.639877912029
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,74589.1380225191
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,17067.8136150601
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12614.0617416421
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6947.35928681966
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1590.31237688317
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,627.502181690836
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2477.97845544866
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,16942.0268119375
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2530.84659301723
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,21865.4562838641
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,22192.4453028535
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,36551.41796875
Czechia,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,31591.1770732969
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,68453.8769281145
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,3554.83918868372
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,9832.99643050057
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,10717.6276712204
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6609.80408154957
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3457.45691570455
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,5391.06926181338
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,6677.793435386
Eritrea,ERI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,30133.304450454
Eswatini,SWZ,GDP per capita (current US$),NY.GDP.PCAP.CD,3610.60879677551
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,1272.01628209211
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,71717.7042204698
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5888.73668639357
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,52925.6897638424
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,44690.9345395117
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7802.83659565049
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,888.157407724123
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,8283.66960242964
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,54343.2265084958
Ghana,GHA,GDP per capita (current US$),NY.GDP.PCAP.CD,2260.28741289427
Gibraltar,GIB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,23400.7278817691
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,11246.3451228921
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,5762.82174615918
Guinea,GIN,GDP per capita (current US$),NY.GDP.PCAP.CD,1541.04050914957
Guinea-Bissau,GNB,GDP per capita (current US$),NY.GDP.PCAP.CD,951.242748289294
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,20765.3503593109
Haiti,HTI,GDP per capita (current US$),NY.GDP.PCAP.CD,1705.77905452248
Honduras,HND,GDP per capita (current US$),NY.GDP.PCAP.CD,3231.65724461936
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,50531.7385421945
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,22141.8669799276
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,79636.9548578508
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2480.79208721621
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4876.31432703188
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,4465.63766994952
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,5565.12644647176
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,103887.800388081
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,52642.4267486308
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,39003.3160954123
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,6839.72503886968
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,33766.5268253808
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4455.50540514568
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,12918.8661346014
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1952.30457929636
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,2106.76000405677
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,33121.3712885508
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,5960.15820477447
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,33729.7985494456
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1970.15780961839
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2066.94979776957
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,22502.8429938094
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,916.282979328622
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,771.887142089677
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,6172.81246940233
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,27786.0057829276
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,128678.189942826
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,67476.5290813306
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,506.159368687808
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,602.343619809252
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,11379.0861000632
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,12530.3602359683
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,869.270234286992
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,40395.7692064458
Marshall Islands,MHL,GDP per capita (current US$),NY.GDP.PCAP.CD,6678.34239060448
Mauritania,MRT,GDP per capita (current US$),NY.GDP.PCAP.CD,2120.82320358953
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11613.0441587588
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,13790.0243428344
"Micronesia, Fed. Sts.",FSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4084.16940424398
Moldova,MDA,GDP per capita (current US$),NY.GDP.PCAP.CD,6729.41286813969
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,256580.515122745
Mongolia,MNG,GDP per capita (current US$),NY.GDP.PCAP.CD,5838.63108083902
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,12221.4775546967
Morocco,MAR,GDP per capita (current US$),NY.GDP.PCAP.CD,3771.4462890625
Mozambique,MOZ,GDP per capita (current US$),NY.GDP.PCAP.CD,622.985619320596
Myanmar,MMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1233.19666209269
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4168.28521087347
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,12982.7612060515
Nepal,NPL,GDP per capita (current US$),NY.GDP.PCAP.CD,1377.62603571292
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,64572.0059558854
New Caledonia,NCL,GDP per capita (current US$),NY.GDP.PCAP.CD,..
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,48280.8114166238
Nicaragua,NIC,GDP per capita (current US$),NY.GDP.PCAP.CD,2612.87066241288
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,642.937917863471
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1596.63696129001
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,8624.29360948531
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,87925.0944188399
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,21549.8368728192
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1365.27743222493
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15899.4224911152
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,18686.4050961265
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2957.68262498549
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,6276.35113919957
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,7906.58502858
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3804.8725797521
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,22056.6661704127
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,27331.2094945255
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,36779.0594913858
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,80195.874646942
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,18404.2730871704
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,13817.0458984375
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,1010.2689290184
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4330.17840531329
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,2940.93352926715
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,32093.9622984711
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1706.44218024762
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,12281.5058488303
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,17879.2396545075
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,757.85833603088
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,84734.2559206054
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,38077.5444869761
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,24491.3771867262
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,32610.110922729
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2041.6364912646
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,597.458854603159
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6022.5425418935
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,33509.0127982139
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3827.96495637489
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,22573.6724791004
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,13554.6651875402
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,..
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,10520.4441534791
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2183.44140625
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,5494.07409425517
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,55516.836477474
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,99564.710026145
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,1160.81187026311
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1224.48962402344
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7182.02525812415
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1502.51963828284
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,985.697512629974
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,20016.1503008736
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3977.69516639644
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,13105.6585678319
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,8232.65225980002
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,30348.8114409139
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,6344.7750188689
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,1002.30913917142
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,5069.703125
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,49040.6947525825
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,49463.8554617343
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,82769.4122114216
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,22797.8111731861
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,2849.51461071911
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3515.23633611798
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Viet Nam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,4282.08851724506
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,..
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,3372.34974423005
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,477.409028678688
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1330.72780576709
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,2156.0340040333
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/15/2025,,,,
